A: ムーリエルは２０歳になりました。	Muiriel is 20 now.#ID=1282_4707
A: 夜そんなに遅くコーヒーを飲みすぎない方がいいよ。	You'd better not drink too much coffee so late at night.#ID=291551_112127
A: 彼はそれを見るや否や青くなった。	No sooner had he seen it than he turned pale.#ID=291495_112183
A: 彼はそれを期限内に仕上げるのが精いっぱいだった。	He had to work as hard as he could to finish it in time.#ID=291489_112189
A: 彼はもう一度繰りかえして言った。	He repeated it again.#ID=291478_112200
A: 彼はそれについて話した。	He mentioned it.#ID=291434_112236
A: 彼は心機一転やり直した。	He turned over a new leaf in life.#ID=291427_112250
A: 彼はその夜、旅人を泊めた。	He accommodated the traveler for the night.#ID=291360_112317
A: 彼はその部屋へ進んだ。	He made his way to the room.#ID=291254_112420
A: 彼はその病気で死んだ。	He died of that disease.#ID=291248_112429
A: 彼はその少女と握手した。	He shook hands with the girl.#ID=291238_112439
A: 彼はその日暮らしをしている。	He's living from hand to mouth.#ID=291212_112465
A: 彼はその質問にたいして親切に答えた。	He responded kindly to the question.#ID=290954_112607
A: 彼はその会社を継いだ。	He acceded to the office.#ID=291050_112626
A: 彼女はその事故でけがをした。	She was hurt in the accident.#ID=290903_112773
A: 警察はその事件の容疑者を逮捕した。	The police arrested the suspect in the case.#ID=290902_112774
A: 彼はその誘惑に屈した。	He gave in to the temptation.#ID=290875_112800
A: 彼はその仕事を引き受けてくれた。	He accepted the job.#ID=290850_112826
A: 彼はその仕事をするのにまだ若すぎる。	He is still too young for the job.#ID=290842_112834
A: 彼は言葉の真の意味において教養のある人だった。	He was in the true sense of the word cultured.#ID=290765_112911
A: 彼はそのボールを投げ返してくれと言った。	He asked me to throw the ball back.#ID=290541_113133
A: 彼はそのニュースに、どう反応した？	How did he respond to the news?#ID=290517_113157
A: 彼はそのとき着ていたもの以外に服を持っていなかった。	He had no clothes other than what he was wearing.#ID=290514_393898
A: 彼らはクラブからジョンを締め出した。	They excluded John from the club.#ID=290464_113210
A: 彼はせきばらいをして、『タトエバが大好き！』と言った。	He cleared his throat, and said:"I love Tatoeba!".#ID=290393_113281
A: 彼はすぐにそのことを思い付いた。	That occurred to him at once.#ID=290205_113468
A: 彼はすぐに来ます。	He will come soon.#ID=394248_113471
A: 彼はすぐキレる。	He loses his temper easily.#ID=290196_113477
A: 彼は怖くなり始めた。	He began to feel afraid.#ID=289995_113678
A: 彼は転んだときに手を傷つけた。	He hurt his hand when he fell.#ID=289992_113681
A: 彼なら来られる。	He can come.#ID=289971_113702
A: 彼は困っている。	He is in trouble.#ID=289969_113704
A: 彼はこの広い部屋を独り占めしている。	He has this large room to himself.#ID=289894_113779
A: 彼はこの間彼女に会いに行った。	He went to see her the other day.#ID=289887_113786
A: 彼はこの夏、東北地方を旅行した。	He traveled through the Tohoku district this summer.#ID=289883_113790
A: 彼はこのあたりの店では顔がきくんだ。	He's a regular at the bars and pubs around here.#ID=289864_113809
A: 彼は35年間自分の部族の酋長だった。	He has been the chief of his tribe for 35 years.#ID=289863_113810
A: 彼は乞食も同然だ。	He is no better than a beggar.#ID=289843_113830
A: 彼はコートを裏返しにした。	He turned his coat inside out.#ID=289811_113862
A: 彼はコアラの写真を１枚撮っていた。	He took a picture of the koala.#ID=289802_113871
A: 彼はケーキ１切れと引き換えにオレンジ１個を私にくれた。	He gave me an orange in exchange for a piece of cake.#ID=289779_113894
A: 彼はクラスでびりだった。	He was at the bottom of the class.#ID=289741_113932
A: 彼は今日どうかしている。	Something is the matter with him today.#ID=289698_113975
A: 彼は昨日手紙を書いた。	He wrote a letter yesterday.#ID=257783_113982
A: 彼は昨日ここへきた少年ではない。	He is not the boy who came here yesterday.#ID=289683_113989
A: 私たちの友達の中には、セルビア人もいるし、クロアチア人もいるし、イスラム教徒もいるのよ。	Among our friends, there are Serbs and Croats and Muslims.#ID=289637_114035
A: 彼はその仕事できっと成功するでしょう。	I am sure he will make good in that job.#ID=289631_114041
A: 彼は風邪ををひいている。	He has a cold.#ID=289527_114145
A: 彼女はかごの中のぶどうを丹念に選んでいる。	She is picking over a basket of grapes.#ID=289521_114151
A: 彼らはお互いに共通点がまったくありません。	They don't have anything in common at all.#ID=289489_114183
A: 彼はお金を少し持っています。	He has a little money.#ID=434894_114204
A: 彼はうつぶせになって寝ていた。	He was sleeping on his face.#ID=289361_114311
A: 彼は打ち解けた。	He has come out of his shell.#ID=289358_114314
A: 彼はいつも娘のことを心配している。	He's always worrying about his daughter.#ID=289220_114451
A: 彼はいつも読書している。	He is always reading.#ID=289196_114475
A: 彼はいつも同じこと言ってるよ。	He always says the same thing.#ID=289193_114478
A: 彼はいつも人の足元をすくおうとする。	He always tries to trip people up.#ID=289168_114503
A: 彼はいつもどこかの家に居候しているようだ。	He always seems to be living rent-free in somebody's house.#ID=289057_114614
A: 彼はアメリカのジャズの起源を研究している。	He is studying the origin of jazz in America.#ID=288840_114831
A: 彼はあまりに腹を立てていたので、しゃべることができなかった。	He was too angry to speak.#ID=288812_114859
A: 彼はあなたの友達なの？	Is he a friend of yours?#ID=288757_114914
A: 彼は一筋縄ではいかない。	He is hard to deal with.#ID=68075_114949
A: 彼はＳＦが好きだ。	He likes science fiction.#ID=2765308_114998
A: 彼はＦＢＩの大物だ。	He is something in the FBI.#ID=288671_115000
A: 彼はESS(英語研究部)に入っています。	He belongs to the ESS (English Speaking Society).#ID=288670_115001
A: 彼は九時から五時半まで働く。	He works from nine to five-thirty.#ID=288666_115005
A: 彼は７年前に日本に来ました。	He came to Japan seven years ago.#ID=288649_115022
A: 彼は７時に駅に着いた。	He arrived at the station at seven.#ID=288644_115027
A: 彼は５時ちょっと前に家についた。	He reached home shortly before five o'clock.#ID=288602_115068
A: 彼は４時頃に来た。	He came about four o'clock.#ID=535023_115099
A: 彼は２０歳になったのに、まだ女の子とおしゃべりすることに臆病だ。	Even though he has turned twenty, he's still too timid to chat with girls.#ID=288482_115189
A: 彼は１目で彼女を大好きになってしまった。	He fell in love with her at first sight.#ID=293837_115209
A: 彼は私に１人で行けと命令した。	He ordered me to go alone.#ID=288433_115238
A: 彼らは１９７０年に一月違いで生まれた。	They were born one month apart in 1970.#ID=288400_115271
A: 彼は誰かが話しかけなければ、決して話そうとしない。	He never speaks unless spoken to.#ID=288309_115362
A: 彼は約束を守る人だ。	He keeps his word.#ID=399688_115373
A: 彼は帽子を買った。	He bought a hat.#ID=288289_115381
A: 彼は望遠鏡を自分に合うように調整した。	He adjusted the telescope to his sight.#ID=288290_115382
A: 彼は変わった人だ。	He's a strange character.#ID=288286_115384
A: 彼は富士山に登った。	He went up Mt. Fuji.#ID=288284_115387
A: 彼は百地三太夫です。	He is Sandayu Momochi.#ID=288281_115390
A: 彼は私たちのようではない。	He's not like us.#ID=288266_115404
A: 彼の沈黙は私を侮辱しているような気がした。	I felt his silence insulting me.#ID=288265_115405
A: 彼は奈良に行った。	He went to Nara.#ID=288256_115414
A: 彼は動作がはやい。	He acts quickly.#ID=288254_115417
A: 彼は徒歩で通学している。	He goes to school on foot.#ID=288249_115421
A: 彼は長男です。	He's the oldest son.#ID=593283_115424
A: 彼は長い距離を歩くのに慣れている。	He is used to walking long distances.#ID=288244_115426
A: 彼は大物だぜ。	He's a big boy.#ID=288238_115432
A: 大統領には彼が適任だ。	He's eligible for the presidency.#ID=288237_115433
A: 彼は大金を寄付した。	He kicked in a lot of money.#ID=288236_115434
A: 彼は他人をうらやみがちだ。	He is apt to envy others.#ID=288232_115438
A: 彼は生活していけるだけの収入がない。	He doesn't earn enough money to live on.#ID=288219_115451
A: 彼は正直な人間であると思う。	I am sure that he is an honest man.#ID=260113_115452
A: 彼は新しい学校での生活になかなかなじめなかった。	He found it very difficult to adjust himself to life in the new school.#ID=288202_115468
A: 彼は乗馬ができる。	He can ride a horse.#ID=288199_115470
A: 彼は商用でしばしば日本にやってくる。	He makes frequent visits to Japan on business.#ID=288195_115475
A: 彼は車にはねられた。	He was hit by a car.#ID=288187_115483
A: 彼は射殺された。	He was shot to death.#ID=288185_115485
A: 彼は自分の利益に敏感だ。	He is alive to his own interests.#ID=288183_115487
A: 彼は、私達が彼を侮辱したかのような振る舞いをした。	He acted as though we had insulted him.#ID=288163_115507
A: 彼は、私のおじがどこに住んでいるのかと尋ねた。	He asked me where my uncle lived.#ID=288158_115512
A: 彼は、私が話を終える前に電話を切った。	He hung up before I finished.#ID=288151_115519
A: 彼は三年議長を務めた。	He served as chairman for three years.#ID=288146_115524
A: 彼は昨日私に箱を作ってくれた。	He made me a box yesterday.#ID=288142_115528
A: 彼は妻と子供たちに２度と会うことはなかった。	He was never to see his wife and family again.#ID=288138_115532
A: 彼は今朝からずっとテニスをしている。	He has been playing tennis since this morning.#ID=288131_115539
A: 彼は、黒人たちが暴力に頼らずとも平等な権利を勝ち取れると信じていた。	He believed that blacks could win their fight for equal rights without violence.#ID=288130_115540
A: 彼は虎が好き。	He likes a tiger.#ID=288128_115541
A: 彼は言うことがくるくる変わる。	He's always changing his mind.#ID=288124_115546
A: 彼は犬を飼っている。	He has a dog.#ID=288121_115549
A: 彼は記録を破った。	He has broken the record.#ID=288108_115562
A: 彼は我々の警告を無視した。	He took no notice of our warning.#ID=288103_115567
A: 彼は火を踏み消した。	He stamped out a fire.#ID=288100_115570
A: 彼は英語を流暢に話す。	He speaks English fluently.#ID=288084_115586
A: 彼はまた遅刻しそうだ。	He is likely to be late again.#ID=288063_115607
A: 彼はバレーの選手です。	He's a volleyball player.#ID=288049_115621
A: 彼はテレビを見ています。	He is watching TV.#ID=288039_115631
A: 彼はテニスに夢中だ。	He is enthusiastic about tennis.#ID=288038_115632
A: 彼は、たった今出発した。	He started just now.#ID=288034_115636
A: 彼はそれを真実だと認めた。	He acknowledged it to be true.#ID=288029_115640
A: 彼は一日中歩き続けた。	He kept walking all the day.#ID=288004_115666
A: 彼はそれを蹴飛ばした。	He kicked it.#ID=287992_115678
A: 彼はオレンジが好き。	He likes oranges.#ID=386734_115686
A: 彼はいつ悪事がばれるかと、気が気でなかった。	It made him uneasy that someone might find out any second what he was hiding.#ID=287973_115697
A: 彼はイギリス人です。	He is English.#ID=1489180_115701
A: 彼はアメリカ人ですか。	Is he American?#ID=287965_115705
A: 彼はあなたより２歳年上だ。	He is two years older than you.#ID=287958_115712
A: 彼は１日中働いている。	He's been working all day long.#ID=287954_115716
A: 彼は幸福であったようだ。	He seems to have been happy.#ID=287945_115725
A: 彼の話はでっち上げだ。	His story was made up.#ID=470442_115787
A: 彼の演説はその場にふさわしいものだった。	His speech was suitable for the occasion.#ID=287882_115788
A: 彼の論理にはついていけない。	I cannot follow his logic.#ID=287766_115903
A: 彼の勇気は賞賛に値する。	His bravery is worthy of praise.#ID=287719_115950
A: 彼のお母さんは１５年間前から薬局を経営している。	His mother has been running a drugstore for fifteen years.#ID=287500_116169
A: 彼の父がたいへんがっかりしたことに、彼のその計画は失敗した。	He failed in the scheme, much to the disappointment of his father.#ID=287421_116248
A: 彼の評論は高く評価された。	His criticisms were highly esteemed.#ID=287348_116290
A: その少年の髪は金髪でもじゃもじゃだ。	The boy has a shock of blond hair.#ID=287331_116338
A: 彼の年齢は彼女の倍である。	He is twice as old as she is.#ID=878452_116379
A: 彼の答えは正確ではなかった。	He answered incorrectly.#ID=287244_116424
A: 彼の長々とした話に我々はうんざりした。	He bored us with his long stories.#ID=287163_116506
A: 彼の多くの収入が毎年海外に旅行することを可能にしています。	His large income enables him to travel abroad every year.#ID=287072_116597
A: 彼の贈り物はぶどう酒一瓶である。	His present is a bottle of wine.#ID=2660334_116625
A: 彼の身に何かあったのだろうか。	I wonder if anything happened to him.#ID=286866_116802
A: 彼の新しい小説はいつ出版されますか？	When will his new novel come out?#ID=286823_116845
A: 彼の小説は全部読んでいます。	I have read all his novels.#ID=286735_116931
A: 彼の傷口に彼女はハンカチをあてがった。	She applied her handkerchief to his wound.#ID=286718_116949
A: 彼の趣味は絵を描くことです。	His hobby is painting pictures.#ID=286646_117020
A: 彼の趣味は花の絵を描くことです。	His hobby is painting pictures of flowers.#ID=286645_117021
A: 彼の主張は、生まれの順番と性格の間には密接な関連があるということだ。	His claim is that there is a close relation between birth order and personality.#ID=286617_117049
A: 私たちは彼の邪魔をした。	We disturbed him.#ID=416691_117071
A: 彼の車は青で、彼女のは赤だった。	His car was blue; hers was red.#ID=286593_117073
A: 彼の助け無しには、やっていけない。	I cannot manage without his support.#ID=286472_117193
A: 彼の仕事は観光バスの運転手です。	His job is driving a sight-seeing bus.#ID=286420_117244
A: 彼の策略を見抜けた。	I saw through his little game.#ID=286413_117251
A: 彼の妻は彼に一日中がみがみ言っている。	His wife nags him constantly.#ID=286370_117294
A: 彼の講義に私達は感動した。	We were really moved by his lecture.#ID=286205_117459
A: 彼の言ってる事を理解するのは困難だ。	I found it difficult to understand what he was saying.#ID=286117_117542
A: 彼の言うことは本当ではないと思う。	I don't think he is truthful.#ID=286032_117631
A: 彼の犬は私を見ると吠える。	His dog barks at me.#ID=285995_117669
A: 彼は犬の絵を書いた。	He painted a picture of a dog.#ID=285993_117671
A: この汚い服は彼の潔白を証明する新しい証拠かもしれません。	These dirty clothes could be a new piece of evidence to prove his innocence.#ID=285976_117688
A: 彼の兄はとても優秀な医者だ。	His brother is a very capable doctor.#ID=285920_117744
A: 彼の教え子の中でその試験に合格した者はいなかった。	Neither of his students passed the exam.#ID=285897_117767
A: 彼の会社での立場はまずくなりつつある。	He is losing ground in his company.#ID=285751_117913
A: 彼の演説は最初のところが少し理解できたが、残りはちんぷんかんぷんだった。	I could understand the first few sentences, but the rest of his speech was all Greek to me.#ID=285606_118058
A: 彼の意見は本当に場違いだった。	His remark was really out of line.#ID=285521_118143
A: 彼の意見は私のと相反している。	His opinion is in conflict with mine.#ID=285507_118157
A: 彼の意見に賛成です。	I am in accord with his view.#ID=285490_118174
A: 彼のメールアドレスは hirosey@genet.co.jp です。	His e-mail address is hirosey@genet.co.jp.#ID=285441_118223
A: ポケットの中にはお金が入っていない。	I have no money in my pocket.#ID=285428_118236
A: 彼のシャツは灰色でネクタイは黄色だった。	His shirt was gray and the tie was yellow.#ID=285352_118311
A: 彼のお父さんは、彼の帰省後亡くなった。	His father died after his return home.#ID=285288_118375
A: 彼の言ったことは名案だ。	What he said is a good idea.#ID=285253_118410
A: 彼のいっしょうは社会の下積みで終わった。	He lived and died in obscurity.#ID=285249_118414
A: 鈴木さんはトムのいたずらにご立腹だ。	Mr. Suzuki is angry about Tom's prank.#ID=285247_118417
A: 彼のいうところによれば、彼女は正直な女だ。	According to him, she is honest.#ID=285240_118423
A: 彼のあごから彼が父親似である事が分かる。	You can see from his chin that takes after his father.#ID=285223_118440
A: 彼の最新の小説は何ですか。	What is the theme of his latest novel?#ID=285210_118453
A: 彼に話しても良いよ。	You may speak to him.#ID=285205_118458
A: 彼に日本文学を紹介しようとしても意味がない。	There is no point in trying to introduce Japanese literature to him.#ID=285162_118501
A: 彼にその手紙を読んで聞かせた。	I read the letter to him.#ID=285160_118503
A: 彼に丁寧な返事を書くつもりです。	I will write him a civil answer.#ID=285133_118530
A: 彼に忠告したところで、馬の耳に念仏だよ。	Giving advice to him is like talking to a brick wall.#ID=285131_118532
A: 彼に初めて会った時の事をよく覚えています。	I remember well the time I first met him.#ID=285070_118593
A: 彼に初めて会ったのは3年前です。	I first met him three years ago.#ID=252569_118594
A: 彼は過ちをあからさまに白状した。	He openly confessed his faults.#ID=284999_118664
A: 彼には娘が３人いる。１人は結婚しているが、あと２人は結婚していない。	He has three daughters; one is married, but the others aren't.#ID=284921_118742
A: 彼には知人は多いが友人は少ない。	He has many acquaintances but few friends.#ID=284878_118785
A: 彼には先生も匙を投げている。	He is his teachers' despair.#ID=284862_118801
A: 彼には子供がいますか。	Does he have any children?#ID=284814_118849
A: 彼には2人の娘がいる。	He has two daughters.#ID=284644_119018
A: 彼について困ったことは、彼が時間を守らないということだ。	The trouble with him is that he is not punctual.#ID=284615_119048
A: 彼について言った事は彼の兄についても当てはまる。	What I told you about him also holds good for his brother.#ID=284611_119052
A: 彼に助けを頼んでごらんよ。	You can ask him for help.#ID=284601_119062
A: 彼にその絵は良いねと言ったのは正直な気持ちだった。	When I told him I liked the picture, I really meant that.#ID=284583_119080
A: ファンは彼にサインを求めた。	The fan asked for his autograph.#ID=284572_119091
A: 彼にビールを一杯注いであげてください。	Please pour him a glass of beer.#ID=284561_119102
A: 彼はいい加減な返事で言い逃れた。	He put me off with a vague answer.#ID=284544_119119
A: 仮にあなたの近所で火事が起こったら、あなたはどうしますか。	If a fire should break out in your neighborhood, what would you do?#ID=284538_119125
A: 彼に会ったとたんに、彼女はわっと泣き出した。	As soon as she met him, she burst into tears.#ID=284536_119127
A: 彼ならいつでも力になってくれるよ。	He'll always come through.#ID=284519_119144
A: 彼と話している間は話の邪魔をしないで下さい。	Please don't cut in while I'm talking with him.#ID=284513_119150
A: 彼と結婚するぐらいなら死んだ方がましだ。	I would rather die than marry him.#ID=284461_119202
A: 彼といっしょに居ると気づまりだ。	I never feel at ease in his company.#ID=284389_119273
A: 彼が目を覚ました時は昼間だった。	When he awoke it was day.#ID=284220_119443
A: 彼が部屋にはいるや否や、彼女はわっと泣き出した。	Hardly had he entered the room, when she burst into tears.#ID=284156_119507
A: 彼が部屋にはいるのを見た。	I saw him enter the room.#ID=260142_119508
A: 彼が部屋にはいると、警官が待ちかまえていた。	He entered the room, to be confronted by a policeman.#ID=284154_119509
A: 彼が彼女と結婚することは間違いない。	There is no question that he will marry her.#ID=284105_119557
A: 彼か私が悪い。	He or I am to blame.#ID=284102_119560
A: 彼は日本のみならず、世界においても有名な物理学者である。	He is a famous physicist not only in Japan, but in the world.#ID=284081_119581
A: 彼がどうして突然勤めを辞めてしまったのかさっぱり分からない。	I have no idea why he quit his job suddenly.#ID=2345686_119589
A: 彼は誰だと思いますか。	Who do you think he is?#ID=69039_119661
A: 彼が棚にぶつかって、とても高価な陶器が落ちて粉々に割れてしまった。	After he bumped into the shelf, the priceless china fell and shattered into fragments.#ID=283996_119666
A: 大変喜んだことには、彼のチームが試合に勝った。	To his great joy, his team won the game.#ID=283993_119669
A: 彼が車を洗うのを見ました。	I saw him wash the car.#ID=283828_120181
A: 彼が時間を守る事などあてにはできない。	You cannot calculate on his punctuality.#ID=283786_120224
A: 彼が私を愛しているなんて思っても見なかった。	It never occurred to me that he loved me.#ID=283740_120269
A: 彼は散歩しているときに不思議な男と偶然会った。	He fell in with a strange man when he was taking a walk.#ID=283680_120329
A: 彼が今日あるのはスポーツのおかげだ。	Sport has made him what he is.#ID=283652_120357
A: 彼が戸を閉めて入るのが聞こえた。	He was heard to shut the door behind him.#ID=283627_120382
A: 私は彼が言っていることは認めますが、まだ彼は間違っていると思います。	Admitting what he says, I still think that he is in the wrong.#ID=283595_120414
A: 彼が建物にはいるのが見られた。	He was seen to enter the building.#ID=283578_120430
A: 彼らが結婚してから１０年になる。	It's been ten years since they were married.#ID=2726657_120434
A: 彼が怪物を見たというのは本当だ。	It's true that he saw a monster.#ID=283481_120528
A: 彼が回復する確率はあるにしても極めて少ない。	There is little if any hope for his recovery.#ID=283471_120538
A: 彼が英語を話すのを聞けば、彼が英語を母語とする人だと思うだろう。	To hear him speak English, you would take him for a native.#ID=283399_120610
A: 彼が医者の言うことを聞いていたら、今でも生きていたかもしれないのだが。	If he had taken his doctor's advice, he might still be alive.#ID=283360_120648
A: 彼から大きな影響を受けた。	He was a great influence on me.#ID=283335_120673
A: 彼がマンションを買ったのはごぞんじですか。	Did you know that he bought a condominium?#ID=460926_120712
A: 彼らは宇宙のなぞを追究している。	They are investigating the mystery of the universe thoroughly.#ID=283267_120741
A: 彼がその穴埋めをした。	He made up for the deficit.#ID=283098_120910
A: 彼がこの部屋に入ったにちがいない。	He must have entered this room.#ID=283025_120983
A: 彼が来てから出発します。	I will start after he comes.#ID=282977_121031
A: 彼が戻ってきたら行きます。	I will go when he comes back.#ID=282975_121033
A: 彼がいつ来るか分かりません。	I don't know when he will come.#ID=259946_121063
A: 彼がいつ現れるかなんてわからない。	There is no telling when he will show up.#ID=282934_121074
A: 彼が行ってしまった今はとても寂しい。	Now that he has gone, we miss him very much.#ID=282926_121082
A: 彼があの仕事を一人でやったと思いますか。	Do you think he did the job on his own?#ID=282889_121118
A: 彼、試験に通ったの？	Did he pass the exam?#ID=460867_121148
A: シェイクスピアは一時代だけの人ではなくて、あらゆる時代に通じる人であった。	Shakespeare was not of an age but for all time.#ID=282849_121158
A: 番号をお間違いのようですが。	You seem to have the wrong number.#ID=282834_121172
A: 晩にベビーシッターを頼む意味ねぇだろ！	There's no point in hiring a babysitter for the evening.#ID=282823_121184
A: 箱の中には新聞や雑誌の切り抜きがあった。	Inside the box were cuttings from newspapers and magazines.#ID=282640_121366
A: 爆発がとてもすさまじかったので、屋根が吹っとんだ。	Such was the explosion that the roof was blown off.#ID=282620_121386
A: 原子爆弾は恐ろしい武器だ。	An A-bomb is a terrible weapon.#ID=282617_121389
A: 爆弾が爆発したとき、私はそこにいた。	When the bomb exploded, I happened to be there.#ID=282614_121392
A: 彼女が白目をむいています。	Her eyes are rolled back.#ID=282606_121400
A: 買い替えた方がお得ですよ。	You will be better off buying a new one than trying to fix it.#ID=282520_121485
A: 彼は背水の陣で闘った。	He fought a last-ditch battle.#ID=282461_121544
A: 背後に声がしたので彼女は体をねじって振り返った。	She twists around at a voice behind.#ID=282458_121547
A: 濃霧のため人っ子一人見えなかった。	Not a soul was to be seen because of a dense fog.#ID=282262_121743
A: 濃霧に加えてうねりも高かった。	In addition to a thick fog, there was a heavy swell.#ID=282257_121748
A: 首都圏でも燃料が不足している。	There's a fuel shortage even in the Tokyo area.#ID=282242_121763
A: 年上の者がいつも年下の者より物知りだとは限らない。	The older ones do not always know more than the younger ones.#ID=282201_121804
A: 年を取るにつれて寒がるものです。	They'll be more sensitive to the cold as they grow older.#ID=282181_121824
A: 年の功というのか、彼の意見はさすがに一日の長があるね。	Maybe it's his age but his opinions seem a little more grounded in experience than everyone else's.#ID=282158_121846
A: 美咲は新しく出会った人と熱烈な恋をしました。	Miki fell passionately in love with someone she just met.#ID=282144_121860
A: 熱があるので身体中が痛みます。	I have a fever and I ache all over.#ID=282100_121903
A: 猫は暗がりでも目が見える。	Cats can see in the dark.#ID=35811_121959
A: 昨日、閑静な住宅街にある猫のひたいほどの売り地を見つかって、すぐ買うことに決めた。	Yesterday, I found a tiny piece of land for sale in a quiet residential area and I immediately decided to buy it.#ID=282023_121980
A: 栗鼠が池で水浴びをしています。	A squirrel is taking a bath in the pond.#ID=281950_122053
A: 私は入り口のない都市に住むと困ると思います。	I think that it would be inconvenient to live in a city with no door.#ID=281908_122095
A: 我々は日曜日に働くのは反対だ。	We are against working on Sundays.#ID=281851_122152
A: 日本人は清潔好きな国民です。	The Japanese are a very clean people.#ID=281762_122241
A: 日本人は寝る前に熱い湯につかるのが好きです。	Japanese love to soak in a hot tub before bed.#ID=281759_122244
A: 日本人は既成の権威にもたれかかろうとする傾向がある。	Japanese people tend to rely on established authority.#ID=281748_122255
A: 日本人はアメリカが多民族国家であることを忘れてはいけない。	Japanese should not forget that America is a multiracial nation.#ID=281730_122273
A: 日本語が話せますか。	Do you speak Japanese?#ID=69058_122329
A: 日本語は私たちの母語だ。	Japanese is our mother tongue.#ID=281667_122336
A: 日本語は学習するのに難しい言語だとよく言われる。	Japanese is often said to be a difficult language to learn.#ID=281666_122338
A: 日本語で「Ｔｈａｎｋ　ｙｏｕ」をどう言うのですか。	How do you say "thank you" in Japanese?#ID=281642_122361
A: 日本は地震で非常に有名である。	Japan is greatly famous for earthquakes.#ID=281578_122425
A: 日本はいかがですか。	How do you like Japan?#ID=281481_122522
A: 日本の人口は約1億2000万人です。	The population of Japan is about 120 million.#ID=281431_122572
A: 日本の神道の儀式に則って、挙式をしたいという方がおられれば、この教会で出来ます。	If someone wants the ceremony to be held in accordance with Japanese Shinto ritual, then that is possible at this church.#ID=281421_122582
A: 親に電話したいのです。	I'd like to call my parents.#ID=281346_122656
A: 日本の家屋は大部分が木造です。	Most Japanese houses are built of wood.#ID=281339_122663
A: 日本の運動選手は何個のメダルを取りましたか。	How many medals did the Japanese athletes collect?#ID=281335_122667
A: 彼らは日本のお相撲さんだよ。	They are Japanese sumo wrestlers.#ID=281320_122682
A: 日本に来てどれくらいになりますか？	How long is it since you came to Japan?#ID=2607616_122696
A: 日本にこの手紙を出したいんですが。	I want to send this letter to Japan.#ID=281302_122700
A: 日本は天然資源が豊富ではない。	Natural resources are not abundant in Japan.#ID=281292_122710
A: 日本には古くからの習慣がたくさんある。	There are many ancient customs in Japan.#ID=281282_122720
A: 日本に来たのは初めてですか。	Is this your first time in Japan?#ID=281271_122731
A: 日本では個人より会社の目標の方が大切だ。	In Japan, company aims come before personal goals.#ID=281226_122776
A: 日本では家に入る時に靴を脱ぐ。	In Japan people take off their shoes when they enter a house.#ID=281216_122786
A: 日本では十八歳になると車を運転できます。	We can drive in Japan when we are eighteen years old.#ID=281196_122806
A: 日本がウィンタースポーツに頭角を現す時が間もなく来るだろう。	The time will soon come when Japan will distinguish herself in winter sports.#ID=281165_122837
A: 日差しは暑くて、彼らは疲れていました。	The sun was hot and they were tired.#ID=281131_122871
A: 日記が彼女が後に書いた本の基盤となった。	Her diaries formed the basis of the book she later wrote.#ID=281105_122897
A: 日の光がだんだん衰えてきた。	The light became weaker and weaker.#ID=281089_122913
A: 毎日、信二は日が暮れてから散歩に出かけます。	Shinji goes for a walk after dark every day.#ID=281064_122938
A: 日がくれてから彼女が外出することはたとえあるにしても極めてまれだ。	She seldom, if ever, goes out after dark.#ID=281039_122963
A: 二枚舌を使うな。	Keep not two tongues in one mouth.#ID=280994_123007
A: 二分以内で彼女はパンとチーズを全部たいらげた。	Within a couple of minutes, she had eaten up all the bread and cheese.#ID=280992_123010
A: 二人の刀がガチッと切りあった。	Their swords clashed.#ID=280917_123083
A: 二人の幼い少女がひなぎくを摘んでいます。	Two little girls are picking daisies.#ID=280898_123102
A: 二人の主人には仕えられない。	No man can serve two masters.#ID=270116_123104
A: 二人の間には暗黙の了解があったに違いない。	There must have been a tacit understanding between them.#ID=280884_123116
A: 政治家が難しい仕事を試みた。	The politician attempted a difficult task.#ID=280803_123197
A: 南アメリカにインカ族と呼ばれる人々がいる。	There are people called Incas in South America.#ID=280791_123207
A: 本を読み続けた。	I continued reading the book.#ID=2170697_123362
A: 書物の選択に際して、過去の偉大な作家は最も注意されるべきだ。	In one's reading, great writers of the past must be given the most attention.#ID=280609_123390
A: 読書から楽しみを引き出すのは読者次第です。	It's the reader that determines whether they extract pleasure from reading.#ID=280595_123403
A: 得手に帆を揚げる。	Hoist your sail when the wind is fair.#ID=266986_123485
A: 道の向う側にセクシーな女の子が歩いている。	There goes a hot little number across the street.#ID=280396_123601
A: 道に迷ったようだ。	I seem to be lost.#ID=280382_123615
A: 同社の売上げは輸出の需要が強いおかげで伸びたが、競争が激しく利益はそれほど伸びなかった。	Sales at the company zoomed thanks to brisk export demand, but profit did not keep up because of intense competition.#ID=280331_123664
A: いじめによる高校生の自殺が相次いでいました。	Suicides of high school students as a result of bullying continued one after another.#ID=280309_123686
A: 動物を檻にいれてくれ。	Put the animals into the cage.#ID=280256_123739
A: 動物に食物と飲み物が大切なように、植物には雨と日光が大切である。	As food and drink is to animals, so are rain and sunshine to plants.#ID=280225_123770
A: 動物に食べ物をやってはいけません。	Don't feed the animals.#ID=280214_123771
A: 動物と植物がこの惑星にはすんでいる。	Animals and plants live on this planet.#ID=280212_123783
A: はやく、逃げて山中に隠れて。	Run and hide in the mountains.#ID=280103_123892
