Word	Reading	JLPT	Meaning
囲む	かこむ	JLPT N3	[Godan verb with mu ending, Transitive verb] 1. to surround; to encircle; to enclose; to fence; to wall in 2. to besiege; to lay siege to 3. to play (go, shogi, etc.) | Other forms: 囲む 【かごむ】 [Notes] かごむ: Out-dated or obsolete kana usage.
火災	かさい	JLPT N3	[Noun] 1. conflagration; fire
菓子	かし	JLPT N3	[Noun, No-adjective] 1. pastry; confectionery
家事	かじ	JLPT N3	[Noun] 1. housework; domestic chores 2. family affairs; household matters
賢い	かしこい	JLPT N3	[I-adjective] 1. wise; clever; smart | Other forms: 畏い 【かしこい】
歌手	かしゅ	JLPT N3	[Noun] 1. singer
数	かず	JLPT N3	[Noun] 1. number; amount
稼ぐ	かせぐ	JLPT N3	[Godan verb with gu ending, Transitive verb] 1. to earn (income); to make (money) 2. to score (points, victory); to gain (time); to play (for time) [Godan verb with gu ending, intransitive verb] 3. to work hard (at one's job); to labor; to labour; to toil
数える	かぞえる	JLPT N3	[Ichidan verb, Transitive verb] 1. to count; to enumerate | Other forms: 算える 【かぞえる】
型	かた	JLPT N3	[Noun] 1. model; type (e.g. of machine, goods, etc.) 2. type; style; pattern {See also 朝型, がた when a suffix} 3. mold (mould); template; model 4. kata (standard form of a movement, posture, etc. in martial arts, sport, etc.) 5. form (i.e. customary procedure) 6. size (i.e. clothing, shoes) 7. (taxonomical) form {Obscure term, See also 品種} [Wikipedia definition] 8. Type | Other forms: 型 【がた】
肩	かた	JLPT N3	[Noun] 1. shoulder
硬い	かたい	JLPT N4	[I-adjective] 1. hard; solid; tough {esp. 固い and 堅い for wood, 硬い for metal and stone} 2. stiff; tight; wooden; unpolished (e.g. writing) 3. strong; firm (not viscous or easily moved) 4. safe; steady; honest; steadfast 5. obstinate; stubborn 6. bookish; formal; stuffy {Antonym: 砕けた} | Other forms: 固い 【かたい】、堅い 【かたい】、緊い 【かたい】 [Notes] 緊い: Irregular kanji usage.
方々	かたがた	JLPT N3	[Noun] 1. they (of people); gentlemen (of the ...) {Honorific or respectful (sonkeigo)} 2. you (usu. plural) {Honorific or respectful (sonkeigo)} [Adverb] 3. various | Other forms: 方方 【かたがた】
形	かたち	JLPT N4	[Noun] 1. form; shape; figure {Only applies to 形, Only applies to 容} 2. visage | Other forms: 容 【かたち】、貌 【かたち】、容 【よう】
刀	かたな	JLPT N3	[Noun] 1. (single-edged) sword; katana 2. dagger; knife {Archaism} 3. scalpel {Archaism, Only applies to とう} | Other forms: 刀 【とう】
語る	かたる	JLPT N3	[Godan verb with ru ending, Transitive verb] 1. to talk about; to speak of; to tell; to narrate 2. to recite; to chant 3. to indicate; to show
価値	かち	JLPT N3	[Noun] 1. value; worth; merit
勝ち	かち	JLPT N3	[Noun] 1. win; victory
がっかり	がっかり	JLPT N3	[Adverb, Noun, Suru verb, Adverb taking the 'to' particle] 1. feel disappointed; dejected; lose heart; feel emotionally drained; feel let down {Onomatopoeic or mimetic word}
活気	かっき	JLPT N3	[Noun] 1. energy; liveliness
学期	がっき	JLPT N3	[Noun, No-adjective] 1. school term; semester
格好	かっこう	JLPT N3	[Noun] 1. shape; form; figure; posture; pose 2. appearance 3. state; situation [Na-adjective, No-adjective, Noun] 4. suitable; fit; reasonable [Noun - used as a suffix] 5. about {after an age} | Other forms: 格好 【かっこ】、恰好 【かっこう】、恰好 【かっこ】、カッコ
活動	かつどう	JLPT N3	[Noun, Suru verb] 1. action; activity [Noun] 2. movie (esp. during the silent movie period) {Abbreviation, Obsolete term, See also 活動写真}
活用	かつよう	JLPT N3	[Noun, Suru verb] 1. practical use; application 2. conjugation; declension; inflection {linguistics terminology}
悲しむ	かなしむ	JLPT N3	[Godan verb with mu ending, Transitive verb] 1. to be sad; to mourn for; to regret | Other forms: 哀しむ 【かなしむ】
必ずしも	かならずしも	JLPT N3	[Adverb] 1. not always; not necessarily; not all; not entirely {used with neg. verb}
可也	かなり	JLPT N3	[No-adjective, Na-adjective, Adverb] 1. considerably; fairly; quite {Usually written using kana alone} | Other forms: 可成り 【かなり】、可なり 【かなり】、可成 【かなり】
金	かね	JLPT N3	[Noun] 1. money {See also お金} 2. metal | Other forms: 鉄 【かね】、銀 【かね】、銅 【かね】、金 【かな】 [Notes] 鉄: Out-dated kanji. 銀: Out-dated kanji. 銅: Out-dated kanji. かな: Out-dated or obsolete kana usage.
可能	かのう	JLPT N3	[Na-adjective, Noun] 1. potential; possible; practicable; feasible
株	かぶ	JLPT N3	[Noun, Counter] 1. stock; share [Noun] 2. stump {orig. meaning} [Noun, Counter] 3. root; rootstock 4. strain (of bacteria, etc.) [Noun, Noun - used as a suffix] 5. tradeable rank; goodwill [Noun] 6. one's forte {See also お株}
被る	かぶる	JLPT N3	[Godan verb with ru ending, Transitive verb] 1. to put on (one's head); to wear; to have on; to pull over (one's head); to crown (oneself) {Usually written using kana alone} 2. to be covered with (dust, snow, etc.); to pour (water, etc.) on oneself; to dash on oneself; to ship water {Usually written using kana alone} 3. to bear (e.g. someone's debts, faults, etc.); to take (blame); to assume (responsibility); to shoulder (burden) {Usually written using kana alone} 4. to overlap (e.g. sound or color) 5. to be similar; to be redundant [Godan verb with ru ending, intransitive verb] 6. to be fogged (due to overexposure, etc.) {of film} 7. to close; to come to an end {of a play, etc.} 8. to get a full house; to sell out {of a play, etc.} 9. to blunder; to bungle; to fail {Archaism, See also 毛氈を被る, of a play, etc.} 10. to be deceived {Archaism} | Other forms: 被る 【かむる】、冠る 【かぶる】、冠る 【かむる】
構う	かまう	JLPT N3	[Godan verb with u ending] 1. to mind; to care about; to be concerned about {See also 構わない} 2. to care for; to look after {Usually written using kana alone} 3. to prepare for 4. to interfere with; to meddle in 5. to tease
我慢	がまん	JLPT N3	[Noun, Suru verb] 1. patience; endurance; perseverance; tolerance; self-control; self-denial
上	かみ	JLPT N3	[Noun] 1. upper reaches (of a river); upper stream {Antonym: 下 しも} 2. top; upper part; upper half (of the body) 3. long ago 4. beginning; first 5. person of high rank (e.g. the emperor) {Honorific or respectful (sonkeigo), See also 御上} 6. government; imperial court 7. imperial capital (i.e. Kyoto); capital region (i.e. Kansai); region (or direction of) the imperial palace {See also 上方 かみがた} 8. head (of a table) 9. wife; mistress (of a restaurant) {Honorific or respectful (sonkeigo)}
神	かみ	JLPT N3	[Noun] 1. god; deity; divinity; spirit; kami [Noun, Noun - used as a prefix] 2. incredible; fantastic {Slang, also written ネ申} [Noun] 3. emperor of Japan {Honorific or respectful (sonkeigo), Archaism} 4. thunder {Archaism} | Other forms: 神 【かむ】、神 【かん】 [Notes] かむ: Out-dated or obsolete kana usage. かん: Out-dated or obsolete kana usage.
雷	かみなり	JLPT N3	[Noun] 1. lightning; thunder; thunderbolt 2. god of thunder; god of lightning {Only applies to かみなり} 3. anger; fit of anger {Only applies to かみなり} | Other forms: 雷 【いかずち】、雷 【いかづち】、雷 【らい】 [Notes] いかづち: Out-dated or obsolete kana usage.
髪の毛	かみのけ	JLPT N3	[Expression, Noun] 1. hair (head)
科目	かもく	JLPT N3	[Noun] 1. (school) subject; curriculum; course | Other forms: 課目 【かもく】
かも知れない	かもしれない	JLPT N3	[Expression] 1. may; might; perhaps; may be; possibly {Usually written using kana alone} [Notes] かもしれない: ichi1. かも知れない: ichi1.
火曜	かよう	JLPT N3	[Adverbial noun, Noun] 1. Tuesday
空	から	JLPT N3	[Noun, No-adjective] 1. emptiness; vacuum; blank
柄	がら	JLPT N3	[Noun, Noun - used as a suffix] 1. pattern; design [Noun] 2. body build; figure; physique [Noun, Noun - used as a suffix] 3. essential qualities; character; nature [Noun - used as a suffix] 4. appropriate to; fitting of; suitable for [Notes] がら: ichi1, news1, nf07. 柄: ichi1, news1, nf07.
体	からだ	JLPT N5	[Noun, No-adjective] 1. body {See also 身体 しんたい, からだ is a gikun reading of 身体} [Noun] 2. torso; trunk 3. build; physique; constitution [Noun, No-adjective] 4. health [Noun] 5. corpse; dead body | Other forms: 身体 【からだ】、躰 【からだ】、躯 【からだ】
刈る	かる	JLPT N3	[Godan verb with ru ending, Transitive verb] 1. to cut (hair); to mow (grass); to harvest; to clip; to shear; to reap; to trim; to prune | Other forms: 苅る 【かる】
彼ら	かれら	JLPT N3	[Pronoun, No-adjective] 1. they (usually male); them | Other forms: 彼等 【かれら】
川	かわ	JLPT N5	[Noun] 1. river; stream {Only applies to かわ} [Suffix] 2. the .... river; (suffix used with the names of rivers) [Place] 3. Gawa | Other forms: 川 【がわ】、河 【かわ】、河 【がわ】
皮	かわ	JLPT N3	[Noun] 1. skin; hide; pelt; fur {See also 革} 2. rind; peel; husk; bark 3. shell; sheath; wrapping 4. mask (hiding one's true nature); seeming {See also 化けの皮 ばけのかわ, See also 欲の皮が突っ張る よくのかわがつっぱる}
革	かわ	JLPT N3	[Noun] 1. leather
可哀想	かわいそう	JLPT N3	[Na-adjective, Noun] 1. poor; pitiable; pathetic; pitiful {Usually written using kana alone} | Other forms: 可哀相 【かわいそう】、可哀そう 【かわいそう】 [Notes] 可哀想: Ateji (phonetic) reading. 可哀相: Ateji (phonetic) reading. 可哀そう: Ateji (phonetic) reading.
可愛らしい	かわいらしい	JLPT N3	[I-adjective] 1. lovely; sweet
勘	かん	JLPT N3	[Noun] 1. perception; intuition; the sixth sense
管	かん	JLPT N3	[Noun, Noun - used as a suffix] 1. pipe; tube | Other forms: 管 【くだ】
缶	かん	JLPT N3	[Noun] 1. can; tin | Other forms: 罐 【かん】、鑵 【かん】 [Notes] 缶: Ateji (phonetic) reading. 罐: Ateji (phonetic) reading, Out-dated kanji. 鑵: Ateji (phonetic) reading.
考え	かんがえ	JLPT N3	[Noun] 1. thinking; thought; view; opinion; concept 2. idea; notion; imagination 3. intention; plan; design 4. consideration; judgement; deliberation; reflection 5. wish; hope; expectation
感覚	かんかく	JLPT N3	[Noun, Suru verb] 1. sense; sensation; feeling; intuition
観客	かんきゃく	JLPT N3	[Noun] 1. audience; spectator; spectators
環境	かんきょう	JLPT N3	[Noun, No-adjective] 1. environment; circumstance
歓迎	かんげい	JLPT N3	[Noun, Suru verb, No-adjective] 1. welcome; reception
観光	かんこう	JLPT N3	[Noun, Suru verb, No-adjective] 1. sightseeing
観察	かんさつ	JLPT N3	[Noun, Suru verb] 1. observation; survey; watching
感じ	かんじ	JLPT N3	[Noun] 1. feeling; sense; impression
感謝	かんしゃ	JLPT N3	[Noun, Suru verb] 1. thanks; gratitude
患者	かんじゃ	JLPT N3	[Noun] 1. (a) patient
勘定	かんじょう	JLPT N3	[Noun, Suru verb] 1. calculation; computation; counting; reckoning; count 2. bill; check; account; payment (of a bill); settlement (of an account) 3. consideration; allowance
感情	かんじょう	JLPT N3	[Noun, No-adjective] 1. emotion; feeling; feelings; sentiment
感じる	かんじる	JLPT N3	[Ichidan verb] 1. to feel; to sense; to experience
感心	かんしん	JLPT N3	[Noun, Suru verb] 1. admiration; being impressed [Na-adjective] 2. admirable; praiseworthy [Noun, Suru verb] 3. astonishment; being appalled
関心	かんしん	JLPT N3	[Noun] 1. concern; interest
関する	かんする	JLPT N3	[Suru verb - special class] 1. to concern; to be related
完成	かんせい	JLPT N3	[Noun, Suru verb] 1. complete; completion 2. perfection; accomplishment
完全	かんぜん	JLPT N3	[Na-adjective, Noun, No-adjective] 1. perfection; completeness
感動	かんどう	JLPT N3	[Noun, Suru verb] 1. being deeply moved emotionally; excitement; passion; deep emotion; impression
監督	かんとく	JLPT N3	[Noun, Suru verb, No-adjective] 1. supervision; control; superintendence; direction [Noun] 2. director; superintendent; supervisor; coach; foreman; manager; overseer; controller; boss [Wikipedia definition] 3. Overseer
管理	かんり	JLPT N3	[Noun, Suru verb] 1. control; management (e.g. of a business)
完了	かんりょう	JLPT N3	[Noun, Suru verb, No-adjective] 1. completion; conclusion {See also 完了形, See also 完了相} [Noun] 2. perfect (tense, form, aspect) {linguistics terminology}
関連	かんれん	JLPT N3	[Noun, No-adjective, Suru verb, Suffix] 1. relation; connection; relevance | Other forms: 関聯 【かんれん】
議員	ぎいん	JLPT N3	[Noun] 1. member of the Diet, congress or parliament
記憶	きおく	JLPT N3	[Noun, Suru verb] 1. memory; recollection; remembrance 2. storage
気温	きおん	JLPT N3	[Noun] 1. atmospheric temperature
機械	きかい	JLPT N3	[Noun] 1. machine; mechanism 2. instrument; appliance; apparatus {often 器械} | Other forms: 器械 【きかい】
議会	ぎかい	JLPT N3	[Noun] 1. congress; parliament; diet; legislative assembly
期間	きかん	JLPT N3	[Noun] 1. period; term; interval
機関	きかん	JLPT N3	[Noun] 1. engine 2. agency; organisation; organization; institution; organ; body 3. system; facility; facilities
企業	きぎょう	JLPT N3	[Noun] 1. enterprise; undertaking; corporation; business
効く	きく	JLPT N3	[Godan verb with ku ending, intransitive verb] 1. to be effective; to show effect {See also 薬が効く} 2. to do its work; to carry out its function well {See also 目が利く} 3. to be possible to use {See also 割引が効く} | Other forms: 利く 【きく】
機嫌	きげん	JLPT N3	[Noun] 1. humour; humor; temper; mood; spirits 2. safety; health; well-being; one's situation [Na-adjective] 3. in a good mood; in high spirits; happy; cheery; merry; chipper {See also ご機嫌 ごきげん, usu. as ご機嫌} | Other forms: 譏嫌 【きげん】、気嫌 【きげん】 [Notes] 譏嫌: Out-dated kanji. 気嫌: Irregular kanji usage.
気候	きこう	JLPT N3	[Noun] 1. climate
岸	きし	JLPT N3	[Noun] 1. bank; coast; shore [Wikipedia definition] 2. Kishi
生地	きじ	JLPT N3	[Noun] 1. cloth; fabric; material; texture 2. one's true character 3. unglazed pottery 4. uncooked dough; batter | Other forms: 素地 【きじ】
記事	きじ	JLPT N3	[Noun] 1. article; news story; report; account [Wikipedia definition] 2. Article (publishing)
技師	ぎし	JLPT N3	[Noun] 1. engineer; technician
記者	きしゃ	JLPT N3	[Noun, No-adjective] 1. reporter {See also ジャーナリスト}
傷	きず	JLPT N3	[Noun] 1. wound; injury; cut; gash; bruise; scratch; scrape; scar 2. chip; crack; scratch; nick 3. flaw; defect; weakness; weak point {See also 玉に疵} 4. stain (on one's reputation); disgrace; dishonor; dishonour 5. (emotional) hurt; hurt feelings {See also 心の傷} | Other forms: 疵 【きず】、瑕 【きず】、創 【きず】、キズ
傷	きず	JLPT N3	[Noun] 1. wound; injury; cut; gash; bruise; scratch; scrape; scar 2. chip; crack; scratch; nick 3. flaw; defect; weakness; weak point {See also 玉に疵} 4. stain (on one's reputation); disgrace; dishonor; dishonour 5. (emotional) hurt; hurt feelings {See also 心の傷} | Other forms: 疵 【きず】、瑕 【きず】、創 【きず】、キズ
期待	きたい	JLPT N3	[Noun, Suru verb] 1. expectation; anticipation; hope
帰宅	きたく	JLPT N3	[Noun, Suru verb] 1. returning home
貴重	きちょう	JLPT N3	[Na-adjective, Noun] 1. precious; valuable
議長	ぎちょう	JLPT N3	[Noun] 1. chairman; speaker (e.g. of assembly); president (e.g. of council, senate, etc.); moderator (e.g. of a newsgroup)
きちんと	きちんと	JLPT N3	[Adverb, Suru verb] 1. precisely; accurately; neatly {Onomatopoeic or mimetic word}
きつい	きつい	JLPT N3	[I-adjective] 1. intense; severe; hard {sometimes written 緊い} 2. determined; forceful; formidable 3. strong 4. tight; close
気づく	きづく	JLPT N3	[Godan verb with ku ending, intransitive verb] 1. to notice; to recognize; to recognise; to become aware of; to perceive; to realize; to realise | Other forms: 気付く 【きづく】
気に入る	きにいる	JLPT N3	[Expression, Godan verb with ru ending] 1. to be pleased with; to suit | Other forms: 気にいる 【きにいる】
記入	きにゅう	JLPT N3	[Noun, Suru verb] 1. entry; filling in of forms
記念	きねん	JLPT N3	[Noun, Suru verb] 1. commemoration; celebration; honoring the memory of something; turning something into a memento; memory | Other forms: 紀念 【きねん】
機能	きのう	JLPT N3	[Noun, Suru verb] 1. function; facility; faculty; feature
気の毒	きのどく	JLPT N3	[Na-adjective, Noun] 1. pitiful; unfortunate; (a) pity | Other forms: 気のどく 【きのどく】
寄付	きふ	JLPT N3	[Noun, Suru verb] 1. contribution; donation [Place] 2. Kifu | Other forms: 寄附 【きふ】
希望	きぼう	JLPT N3	[Noun, Suru verb] 1. hope; wish; aspiration | Other forms: 冀望 【きぼう】
基本	きほん	JLPT N3	[Noun, No-adjective] 1. foundation; basis; standard
決まり	きまり	JLPT N3	[Noun, No-adjective] 1. rule; regulation 2. settlement; conclusion; end; agreement; arrangement 3. habit; custom; habitual way {See also 御決まり} 4. countenance in front of another person; face {See also 決まりが悪い, usu. as 決まりが悪い, etc.} 5. love relationship between a customer and a prostitute {Archaism} | Other forms: 決り 【きまり】、極まり 【きまり】、極り 【きまり】
気味	きみ	JLPT N3	[Noun] 1. sensation; feeling {See also いい気味 いいきみ} 2. tendency; propensity {Only applies to きみ, See also 気味 ぎみ} | Other forms: 気味 【きび】
奇妙	きみょう	JLPT N3	[Na-adjective, Noun] 1. strange; queer; curious
義務	ぎむ	JLPT N3	[Noun, No-adjective] 1. duty; obligation; responsibility
疑問	ぎもん	JLPT N3	[Noun] 1. question; problem; doubt; guess
逆	ぎゃく	JLPT N3	[Na-adjective, Noun] 1. reverse; opposite 2. converse (of a hypothesis, etc.) [Noun - used as a prefix] 3. inverse (function) {Mathematics}
キャプテン	キャプテン	JLPT N3	[Noun] 1. captain [Wikipedia definition] 2. Captain [Notes] キャプテン: gai1.
キャンプ	キャンプ	JLPT N3	[Noun, Suru verb] 1. camp [Notes] キャンプ: gai1, ichi1.
九	きゅう	JLPT N3	[Numeric] 1. nine {玖 is used in legal documents} | Other forms: 九 【く】、九 【ここの】、九 【この】、九 【ここ】、９ 【きゅう】、９ 【く】、９ 【ここの】、９ 【この】、９ 【ここ】、玖 【きゅう】、玖 【く】、玖 【ここの】、玖 【この】、玖 【ここ】
旧	きゅう	JLPT N3	[Noun, Prefix] 1. ex-; former; old
球	きゅう	JLPT N3	[Noun] 1. sphere {Mathematics} [Suffix, Counter] 2. counter for balls {Baseball term}
級	きゅう	JLPT N3	[Noun, Noun - used as a suffix, Counter] 1. class (e.g. school); grade; rank
休暇	きゅうか	JLPT N3	[Noun] 1. holiday; day off; furlough; absence (from work)
休憩	きゅうけい	JLPT N3	[Noun, Suru verb] 1. rest; break; recess; intermission | Other forms: 休けい 【きゅうけい】
急激	きゅうげき	JLPT N3	[Na-adjective, Noun] 1. sudden; precipitous; radical | Other forms: 急劇 【きゅうげき】
吸収	きゅうしゅう	JLPT N3	[Noun, Suru verb] 1. absorption; suction; attraction [Wikipedia definition] 2. Absorption
救助	きゅうじょ	JLPT N3	[Noun, Suru verb] 1. relief; aid; rescue [Notes] きゅうじょ: ichi1, news1, nf09. 救助: ichi1, news1, nf09.
急速	きゅうそく	JLPT N3	[Na-adjective, Noun] 1. rapid (e.g. progress)
急速	きゅうそく	JLPT N3	[Na-adjective, Noun] 1. rapid (e.g. progress)
急に	きゅうに	JLPT N3	[Adverb] 1. swiftly; rapidly 2. suddenly; abruptly; immediately
今日	きょう	JLPT N5	[Temporal noun] 1. today; this day 2. these days; recently; nowadays {Only applies to こんにち} | Other forms: 今日 【こんにち】、今日 【こんち】、今日 【こんじつ】
器用	きよう	JLPT N3	[Na-adjective, Noun] 1. skilful; skillfull; adroit; dexterous; dextrous; deft; nimble; handy 2. clever; shrewd; ingenious
教科書	きょうかしょ	JLPT N3	[Noun] 1. textbook; coursebook; schoolbook
競技	きょうぎ	JLPT N3	[Noun, Suru verb, No-adjective] 1. game; match; contest [Notes] きょうぎ: ichi1, news1, nf02. 競技: ichi1, news1, nf02.
行儀	ぎょうぎ	JLPT N3	[Noun] 1. manners; behavior; behaviour {See also お行儀}
供給	きょうきゅう	JLPT N3	[Noun, Suru verb] 1. supply; provision
教師	きょうし	JLPT N3	[Noun, No-adjective] 1. teacher (classroom)
教授	きょうじゅ	JLPT N3	[Noun] 1. professor [Noun, Suru verb] 2. teaching; instruction
強調	きょうちょう	JLPT N3	[Noun, Suru verb] 1. emphasis; highlight; stress; stressed point
共通	きょうつう	JLPT N3	[Na-adjective, Noun, No-adjective] 1. commonness; community [Suru verb] 2. to be common; to be shared [Noun - used as a suffix] 3. -wide
共通	きょうつう	JLPT N3	[Na-adjective, Noun, No-adjective] 1. commonness; community [Suru verb] 2. to be common; to be shared [Noun - used as a suffix] 3. -wide
共同	きょうどう	JLPT N3	[Noun, Suru verb, No-adjective] 1. doing together (as equals); sharing; common (land, etc.); joint (statement, etc.); cooperation; co-operation; collaboration; association {esp. 共同} [Place] 2. Kyoudou | Other forms: 協同 【きょうどう】
恐怖	きょうふ	JLPT N3	[Noun, Suru verb] 1. fear; dread; dismay; terror; horror; scare; panic | Other forms: 恐怖 【くふ】 [Notes] くふ: Out-dated or obsolete kana usage.
協力	きょうりょく	JLPT N3	[Noun, Suru verb, No-adjective] 1. cooperation; collaboration {See also ご協力} | Other forms: 共力 【きょうりょく】 [Notes] 共力: Irregular kanji usage.
強力	きょうりょく	JLPT N3	[Na-adjective, Noun] 1. powerful; strong
許可	きょか	JLPT N3	[Noun] 1. permission; approval; authorization; license [Suru verb] 2. to permit; to authorize
局	きょく	JLPT N3	[Noun, Noun - used as a suffix] 1. bureau; department 2. office (e.g. post, telephone); broadcasting station (e.g. television, radio); channel; exchange {Abbreviation, See also 郵便局, See also 放送局} 3. affair; situation [Noun, Noun - used as a suffix, Counter] 4. game (of go, shogi, etc.)
極	きょく	JLPT N3	[Noun] 1. pole 2. climax; extreme; extremity; culmination; height; zenith; nadir
巨大	きょだい	JLPT N3	[Na-adjective, Noun] 1. huge; gigantic; enormous
嫌う	きらう	JLPT N3	[Godan verb with u ending, Transitive verb] 1. to hate; to dislike; to loathe
霧	きり	JLPT N3	[Noun] 1. fog; mist {See also 靄, See also 霞} 2. spray
切れ	きれ	JLPT N3	[Noun] 1. piece; slice; strip; scrap 2. cloth {also written as 布, 裂} 3. sharpness [Counter] 4. counter for scraps, pieces, etc.
切れる	きれる	JLPT N3	[Ichidan verb, intransitive verb] 1. to break; to snap; to be cut; to split; to crack 2. to be injured 3. to wear out; to be worn out 4. to break; to burst; to collapse 5. to wear off; to stop working; to go dead 6. to expire (time limit, etc.); to run out; to become due 7. to run out (of stock, etc.); to be exhausted; to be used up; to be sold out; to be out of 8. to be broken off (e.g. of a relationship); to break up; to have severed ties; to be cut off; to be disconnected 9. to cut well; to be sharp 10. to be sharp-minded; to be keen; to be shrewd; to be quick-witted; to be able 11. to be short of; to drop under (a certain figure); to beat (e.g. a record time) 12. to dry off 13. to curve; to veer 14. to shuffle (cards) 15. to get angry; to snap; to blow one's top; to lose one's temper; to flip {Colloquialism, See also キレる} [Auxiliary verb, Ichidan verb] 16. to be able to do completely {Usually written using kana alone, after the -masu stem of a verb} [Notes] きれる: ichi1. 切れる: ichi1.
キロ	キロ	JLPT N5	[Prefix] 1. kilo-; 10^3 {From French } [Noun] 2. kilogram; kilogramme {Abbreviation, See also キログラム} 3. kilometre; kilometer {Abbreviation, See also キロメートル} [Prefix] 4. kilo-; 2^10 {Computer terminology}
記録	きろく	JLPT N3	[Noun] 1. record; minutes; document 2. record (e.g. in sports); results; score [Suru verb] 3. to record; to document 4. to set a record (e.g. in sports); to show a result; to reach a value
議論	ぎろん	JLPT N3	[Noun, Suru verb] 1. argument; discussion; dispute; controversy
金	きん	JLPT N3	[Noun, Noun - used as a suffix] 1. gold (Au); golden (color); gold (medal, cup) [No-adjective, Noun] 2. valuable; of highest value [Noun] 3. money; gold coin (orig. meaning) 4. Friday {Abbreviation, See also 金曜} 5. metal (fourth of the five elements) {See also 五行} 6. Jin (dynasty of China; 1115-1234 CE) [Noun, Noun - used as a suffix] 7. gold general {Shogi term, Abbreviation, See also 金将} [Noun] 8. testicles {Abbreviation, Colloquialism, See also 金玉 きんたま} [Suffix, Counter] 9. karat; carat
銀	ぎん	JLPT N3	[Noun, No-adjective] 1. silver (Ag) [Noun] 2. silver coin; money 3. silver medal [Noun, No-adjective] 4. silver colour; silver color [Noun] 5. silver general {Shogi term, Abbreviation, Only applies to ぎん, See also 銀将 ぎんしょう} | Other forms: 銀 【しろがね】、銀 【しろかね】、白銀 【しろがね】、白銀 【しろかね】、白金 【しろがね】、白金 【しろかね】 [Notes] しろかね: Out-dated or obsolete kana usage. しろかね: Out-dated or obsolete kana usage. 白金: Irregular kanji usage. しろかね: Out-dated or obsolete kana usage. 白金: Irregular kanji usage.
禁煙	きんえん	JLPT N3	[Noun, Suru verb, No-adjective] 1. abstaining from smoking; quitting smoking {See also 喫煙} [Expression] 2. No Smoking!; Smoking Prohibited! {on a sign} | Other forms: 禁烟 【きんえん】
金額	きんがく	JLPT N3	[Noun] 1. amount of money
金庫	きんこ	JLPT N3	[Noun] 1. safe; strongbox; cashbox; vault; strongroom 2. depository; cash office; treasury; provider of funds
禁止	きんし	JLPT N3	[Noun, Suru verb] 1. prohibition; inhibition; ban
金銭	きんせん	JLPT N3	[Noun, No-adjective] 1. money; cash
金属	きんぞく	JLPT N3	[Noun] 1. metal [Place] 2. Kinzoku | Other forms: 金ぞく 【きんぞく】
近代	きんだい	JLPT N3	[Noun, No-adjective] 1. present day; modern times
緊張	きんちょう	JLPT N3	[Noun, Suru verb] 1. tension; mental strain; nervousness
筋肉	きんにく	JLPT N3	[Noun, No-adjective] 1. muscle; sinew
金融	きんゆう	JLPT N3	[Noun, No-adjective] 1. financing; credit transacting; loaning of money; circulation of money
金曜	きんよう	JLPT N3	[Adverbial noun, Temporal noun] 1. Friday
句	く	JLPT N3	[Noun, Noun - used as a suffix] 1. section (i.e. of text); sentence; passage; paragraph 2. phrase {linguistics terminology} 3. verse (of 5 or 7 mora in Japanese poetry; of 4, 5, or 7 characters in Chinese poetry) 4. haiku; first 17 morae of a renga, etc. 5. maxim; saying; idiom; expression
食う	くう	JLPT N3	[Godan verb with u ending, Transitive verb] 1. to eat {Male term or language} 2. to live; to make a living; to survive 3. to bite; to sting (as insects do) 4. to tease; to torment; to taunt; to make light of; to make fun of 5. to encroach on; to eat into; to consume 6. to defeat a superior; to threaten a position 7. to consume time and-or resources 8. to receive something (usu. an unfavourable event) {Colloquialism} 9. to have sexual relations with a woman, esp. for the first time {Male term or language, Vulgar} | Other forms: 喰う 【くう】、啖う 【くう】 [Notes] 啖う: Out-dated kanji.
偶然	ぐうぜん	JLPT N3	[Na-adjective, No-adjective, Adverbial noun, Noun] 1. (by) chance; unexpectedly; suddenly; accident; fortuity; by coincidence
臭い	くさい	JLPT N3	[I-adjective] 1. stinking; smelly 2. suspicious; fishy 3. clumsy; unskilled [Suffix, I-adjective] 4. smelling of 5. looking like; appearing like; smacking of; -ish
鎖	くさり	JLPT N3	[Noun] 1. chain; chains [Place] 2. Kusari | Other forms: 鏈 【くさり】
腐る	くさる	JLPT N3	[Godan verb with ru ending, intransitive verb] 1. to rot; to go bad; to decay; to spoil; to fester; to decompose; to turn sour (e.g. milk) 2. to corrode; to weather; to crumble 3. to become useless; to blunt; to weaken (from lack of practice) 4. to become depraved; to be degenerate; to be morally bankrupt; to be corrupt 5. to be depressed; to be dispirited; to feel discouraged; to feel down {See also 気が腐る きがくさる} [Auxiliary verb, Godan verb with ru ending] 6. indicates scorn or disdain for another's action {Usually written using kana alone, Kansai dialect, See also やがる, after the -masu stem of a verb} [Godan verb with ru ending, intransitive verb] 7. to lose a bet {Archaism} 8. to be drenched; to become sopping wet {Archaism}
癖	くせ	JLPT N3	[Noun] 1. habit (often a bad habit, i.e. vice); tendency 2. peculiarity; idiosyncrasy; mannerism 3. crease; wrinkle; curl; kink | Other forms: 癖 【へき】
具体	ぐたい	JLPT N3	[Noun] 1. concrete; tangible; material
